"comment_id","author","body","source","channel"
"UgwtqjiwRImdhLnNbf14AaABAg","@HadrysL","Do you or does anyone feels the phone very greasy? I dont know with what I can clean it to avoid this feeling","youtube","mkbhd"
"UgyG9R2zmzdy9DYu3Yl4AaABAg","@felixriveragomez5690","Outer display is amazing. It's what I use the most. Really don't have to open the phone too often. Thanx Motorola 😉","youtube","mkbhd"
"Ugx8FVybjvXZExCg9zt4AaABAg","@childofgod5115","Great review thank you ! It seems like all these phones are getting bigger im using a A23 and its great but i like a phone that fits in pocket nice. I had the iphone se and was going to back to that but i like the google eco system do you think this phone would work? Thanks again.","youtube","mkbhd"
"Ugw0urvOsTWbTyPVuu14AaABAg","@web_jar6630","Your point of having a barrier is an interesting one. However on the flip side (pun intended), screens on modern smartphones are getting really big and sometimes difficult to manage with one hand especially when you're travelling. I found the ability to use GMaps, music, calendar and basically any app on the outside screen extremely practical. The small form factor in the folded state doesn't make me constantly live in fear that my phone will fall out of my pocket or will get damaged when in my pocket. Maybe i'm a little biased but I actually like the feeling that I basically have no device in my pocket when I'm travelling while listening to music. But i also like that this device can also be used for reading, which I do think many people do. For example, going through rmails or news. With the normal form factor going over 6 inch screen for almost all devices, this flip style form factor is the only way to preserve practicality imo. For a much bigger screen, I have fond a dedicated tablet or a laptop to be a much better solution.","youtube","mkbhd"
"UgwjNgA0KtFsKH9TNpp4AaABAg","@kernelhexTorr","The only reason this phone is “Intriguing” is if it’s paired with the clicks keyboard imo","youtube","mkbhd"
"UgwmU5q5Pss8bSRoNOx4AaABAg","@killerwease","I want a smaller phone. Having a tiny screen is so nice","youtube","mkbhd"
"Ugwr5vLOsGW7oi5wrDF4AaABAg","@alexispapadopoulos9905","I like the idea of having a bigger out screen for sure. It's functional.. have you seen the Clicks keyboard that goes with Razr+? It is impressive, functions like a blackberry from the good old days. The keyboard won't appear on the screen and gives you more space for texting without flipping the phone open.. great option while commuting, etc..","youtube","mkbhd"
"UgxrEeT-qH0QfZY0K814AaABAg","@dominicparotti1866","Bad phone not good .the one on Google web page is different not the same razor 60 I saw it worst trash phone  Motorola disappointed me with this garbage","youtube","mkbhd"
"UgzWvOUrC6GK0OdPVvZ4AaABAg","@terrys.carlson2144","I just picked up the Motorola Moto razr plus 2023 for $250 in 2025 that's a 75% off retail discount and this phone practically looks brand new.","youtube","mkbhd"
"UgwPANliR7uXlcHNvWp4AaABAg","@LittleOfSkeill","I just got this phone and i thought the external display was cool but ive found i use it a lot more than i thought. Its not what i thought i wanted but i never knew i needed it.","youtube","mkbhd"
"Ugwbx0ELGEqtCH4A2Fl4AaABAg","@makeba133","I love love mine . I'm never going back.   😂","youtube","mkbhd"
"UgxPLbLQFlCTzmjgTm54AaABAg","@merterdir","Literally considering getting one. Finally a phone with sex appeal and acceptable feature-set all in one. Sent from my iPhone 15 Pro. Such a shame that all these interesting phones are held back by android.","youtube","mkbhd"
"UgxxWyamRBWHZd99hOF4AaABAg","@OnlyPureSounds","Remove the big screen inside increase the battery i would love a device with such small display","youtube","mkbhd"
"UgxEzWFuMMSuNuFIYT14AaABAg","@RampartDistric213","Motorola is a really reliable brand. Ive owned 3 iPhones and 4 Samsungs. The battery on the Motorola holds charge longer and the durability is crazy. Shaking the phone twice for the flashlight, a wrist twist for the camera are very convenient features. Very robust. Plus!! It's AMERICAN MADE!!!","youtube","mkbhd"
"UgzFBOR3n0ZAL3VTOOR4AaABAg","@adelaferreira4575","The main thing about owning this phone is the size ,when folded ,it is so convenient to not carry a big block","youtube","mkbhd"
"UgzqrobwuSkA7VJ5dHd4AaABAg","@Kentanyl","We want a phone the size of the moto razer with a physical keyboard","youtube","mkbhd"
"Ugz-cTYBKCVgfH7DaNl4AaABAg","@kermittherunner","I wish the camera had the wide angle mode for video 📷. The camera overall needs huge improvements","youtube","mkbhd"
"UgyyScbme8eHIQ6s2Dh4AaABAg","@SmartHomeImprovementTv","I cannot wait to get rid of my Razr plus.   After only 6 months, I have had to replace the screen protector 2 times.  The screen protector keeps coming off at the fold, after about 500 folds.   AND, apparently, ALL folding phones have this problem!","youtube","mkbhd"
"UgwYkl9_A68NUEDt6AB4AaABAg","@notn0t","What I want is an ultra-small phone the size of hold of this flip phone, with just the outside screen. The tech is clearly there. Just make it!","youtube","mkbhd"
"UgxG7lNB3DwYNL1FQaR4AaABAg","@SushilDalvi-r6x","Waiting for Sony 10VI Review buddy. I hope you drop it soon.","youtube","mkbhd"
"UgxjcseM-_dSF2RfajB4AaABAg","@521ret.8","I wonder how the hindges are","youtube","mkbhd"
"Ugx8rwTjogmcAiKmPtd4AaABAg","@KazeHorse","2:00 this right here is the only reasons flip phones aren’t for me right now. I can’t easily flip it open with one hand like we could back in the day.","youtube","mkbhd"
"UgxE0_r3C8PWic-Bl694AaABAg","@Pouncingpuma7","MOTOROLA IS THE MOST INNOVATIVE PHONE COMPANY, HANDS DOWN!!!","youtube","mkbhd"
"Ugy8xGAyRNt9xR6gH4l4AaABAg","@kenny3265","Japanese phone reviewers are better and more reliable","youtube","mkbhd"
"Ugz8CVRx2fNN76Q9zWF4AaABAg","@Prnencetti","Hi I got this phone thanks to an insurance replacement. My Motorola keep our 2024 edition died on me and wouldn't turn on anymore so insurance company gives me a new one. I was super surprised to find not my phone in the package but this phone in the package that's just amazing. Wasn't expecting this this phone. Yeah there are things that I like about it and then I don't like about it like how it doesn't have a memory card anymore. Yes I know you can get on the go support memory card readers that you can plug into it but it's not the same as having a built-in memory card. Yes I know 256 is a lot of pictures and video so we'll see what this phone if I can handle taking pictures and videos. And I'm very nervous with it the way you fold it I think it's going to break but no it's not it's designed to fold that way I just don't really want to keep folding it that way. I'll get used to it overtime though it's just a matter of do I like it or don't I","youtube","mkbhd"
"UgwrOkBwOv6k6y7mXCZ4AaABAg","@Ricky-gr6uc","So Motorola just took the razr 2023+ and just renamed it razr 2024 because now the 2024 razr+ has a even bigger outside screen hopefully the 2025 razr has the big 2024+ outside screen because I'm with cricket so I get discounts with the none + models","youtube","mkbhd"
"UgxBsT2uG75wi-5LT954AaABAg","@astrobotnautics5291","No I think you haven't quite judged the market right. This isn't for flip phone enthusiasts. This is for small phone enthisiasts who want to sometimes unfold it.","youtube","mkbhd"
"UgxANv24fINcTueqwP94AaABAg","@rishiy6183","Great thing is that motorola delivers a clean android experience without any bloat.","youtube","mkbhd"
"Ugw-oXOGxC9QK5QWvjh4AaABAg","@robertwilliams1204","I found out of the box it was a great phone I loved it. 8 months down the road started having some bubbling on the right side of the fold. It worked this way all across the way across. And now it's continuing to get bigger. What have it fixed if you could find anybody to works on Motorola phones.$500 to replace the screen. Love the phone they need to work on the screen. The only thing is is Motorola knows it. When you first get the phone and turn it on they keep reminding you it's a plastic screen Don't do this don't do that. I take good care of my phone I'd have and you never dropped it or anything. It just all of a sudden started bubbling. I'll leave it up to you. Great phone terrible screen","youtube","mkbhd"
"Ugyx-jDep1XeYqPeANp4AaABAg","@Elvis_Pond5","People are DUMPING their iPhones for this thing -- 
that should say something !","youtube","mkbhd"
"UgyBZ-h9a5hr0byUfch4AaABAg","@xash06","I just got the razr 2024 from boost mobile for 99$ and I love it!! Just get a super good case that protects the hinges, and don't open the phone with one hand and be careful with it, and don't shut it and you'll be good.","youtube","mkbhd"
"UgzkanShURFPVA0VAAZ4AaABAg","@av5829","Motorola just made folding phones ACTUALLY useable and not just gimmicky","youtube","mkbhd"
"UgxbOdJacBzcd7TEb7V4AaABAg","@mayoonit","I’m sold","youtube","mkbhd"
"Ugwfjzp9qyB6SPGTOV14AaABAg","@ludwikd","""master of none"" 😂","youtube","mkbhd"
"Ugy7nmHufo96J9qhUiR4AaABAg","@HighlandArmsM1911","I’m considering this as a disgruntled iPhone 13 mini lover","youtube","mkbhd"
"UgxTGN8Hqzy7hGDX_e54AaABAg","@Danielthecreator97","Anyway I can have real time ai translation with this phone","youtube","mkbhd"
"Ugx3TzCgAaxKLTaXMbt4AaABAg","@ohioplayer-bl9em","My son got me this for Christmas this year. 2024...
I haven't used it yet, waiting for the mag safe case to arrive..
I didn't open the box until I knew I could get a mag safe case.. I need it on my dash for maps and charging.","youtube","mkbhd"
"Ugx5rqNCU_uYG8ZKRrZ4AaABAg","@LukeO-1234","Im due for an upgrade in summer of 25. I hope a next gen is available by then","youtube","mkbhd"
"UgzMOLydidZxB7odC914AaABAg","@leakyabstraction","And even one year later, Samsung still has way worse small display design. Not to mention their horribly janky software with unfixed bugs.","youtube","mkbhd"
"UgzQH8P_9prNBxNxbQh4AaABAg","@moreseun","Just now need more accessories like better cases and screen covers and quad lock!","youtube","mkbhd"
"UgzKLEcfKoUi--a-box4AaABAg","@moreseun","I got it, i love it, im never going back. The iPhone and Samsung now just sit in my drawer 🔥","youtube","mkbhd"
"UgzWtg4-YCqNFAK9i9J4AaABAg","@romaroslaters7046","Can you review the new razor 2024 and maybe like Skullcandy headphones and earbuds","youtube","mkbhd"
"Ugw4w_U_Rv0bl9LkImt4AaABAg","@cantalicio2335","Does anyone know why this phone doesn't work with Android play?","youtube","mkbhd"
"Ugy_wkB6LlSv8bnfI5N4AaABAg","@brucesantacory1390","i just got one a couple days ago, like the phone but after a ton of years with Samsungs i'm still deep in the learning cruve, i still can't find a use for the outside screen, and i'm sure that me not the phone","youtube","mkbhd"
"UgwtCWF-lpjyXTL9Qix4AaABAg","@magP787","i like the bigger screen but no nore bigger....i think people are starting to go back to small phones again","youtube","mkbhd"
"UgzC2FwNEnsP9h74Bgh4AaABAg","@skytrooper506","Great video. Can you make a call without opening the phone?","youtube","mkbhd"
"Ugza5tdrLP6GPHf2-9h4AaABAg","@999RVA","The smaller screen reminds me of, and works like a blackberry; the feature that allows you to view or use any application, a huge bonus. 

The open system, not a fan...","youtube","mkbhd"
"UgxZqqIezwaKljSQ71J4AaABAg","@MrMan-x1i","Former T-Mobile and verizon employee here Picked one up for my grandma used on eBay $306 great condition it was a no brained s23 fe and this share same chipset and this phone is still holding strong in 2024 November","youtube","mkbhd"
"UgytFCKCNJzBSYtRIvN4AaABAg","@92naapa","i work in forest and i have to look borders and i like to do it with phone in one hand while using saw with right hand, if it can run all programs his could be rly nice to have this in unfolded use there","youtube","mkbhd"
"UgxxvwHI5oj-FdgvdQV4AaABAg","@matthewhensley5165","The newset rzr that I'm about to get is basically just the rzr plus with plastic back","youtube","mkbhd"
"UgxfSh1g8sz8-Qs1DC14AaABAg","@dougraber8291","I just bought one after 5 years with apple. Not too bad, It just requires alot of work to switch from apple to android,  ALSO TAP TO PAY WON'T WORK NO MATTER WHAT I DO OR WHO I CALL","youtube","mkbhd"
"UgwpWNdibj_iimBS1Yh4AaABAg","@EverettPalet","6:34 yeah but I think scrolling on that outside screen would suck so much that you wouldn't","youtube","mkbhd"
"UgwirlA9oPvTLPH8oYZ4AaABAg","@EverettPalet","This new outside display is, for me, the replacement for a small phone. It's small phone 2.0 - small size, but big when I need it. 
Just picked one up for that purpose","youtube","mkbhd"
"UgzMhPv-CAWHT0RREyl4AaABAg","@LelandSmith-g2d","A friend of mine has one she never opens her phone she’s not worried about the hinge messing up","youtube","mkbhd"
"Ugy8UOJb0HVxnlvSVI54AaABAg","@monkehgamingofficial","Enter Sandman 🤘🤘🤘🤘","youtube","mkbhd"
"UgweDBqjze-MeXCqIVR4AaABAg","@eldenbestmother","My pet peeve is why the outside screen is where the camera lens is...your hand is gonna smudge it up","youtube","mkbhd"
"Ugx65uN1MO5SglZ6iS14AaABAg","@AmericaFirst-44","Have the orange 2024 it's sweet","youtube","mkbhd"
"UgzgBVw1aL7RV6U9_j14AaABAg","@victors.","Y u dont say the phone is good, fun, good looking, innovative and good price?

Those r qualities of this phone. U don't say it cause u r a too proud iPhone user to admit it.

Please b honest in ur reviews, it's the reason I subscribed.","youtube","mkbhd"
"Ugwv6QvO_pVJwN7FP7l4AaABAg","@brandaudavid","How old are you, bruh? In my day, the smaller the cellphone the cooler you were... hence the joke of the tic-tac sized phone in Zoolander","youtube","mkbhd"
"Ugy9Hlhw70-sF_VzTNF4AaABAg","@James-Vasa","I really want this phone but im not sure if they gonna release a new version soon","youtube","mkbhd"
"Ugz5dOrzEFC9Dj7INJx4AaABAg","@carlwatkins5052","Looks great","youtube","mkbhd"
"Ugy89ir09EaOLys3HuN4AaABAg","@domanisarapeggio","Anybody had this for a while? How does it hold up?","youtube","mkbhd"
"Ugw1gWB2lBnSnZbAbYV4AaABAg","@21064a01","Do I have to buy an Otterbox case or similar?","youtube","mkbhd"
"UgyGMkpeC4RY5FmlWqt4AaABAg","@Kris-wy1lc","Typing this on the external screen rn","youtube","mkbhd"
"UgxR_ElTvBL4twU_REt4AaABAg","@unshapingtheearth7916","This is the first phone that id actually be interested in outside of apple","youtube","mkbhd"
"UgyRrc3oLgZIN1I40yZ4AaABAg","@neillb20","I have bought a last year model  Razr 2023 which has a smaller outside screen and I love it. I thought I will regret it but I'm not. They should make more phones with a smaller outside screen","youtube","mkbhd"
"UgzWF5ptWIbq7tL3YV14AaABAg","@DanielWilczek-nu7ff","I personally like this front-screen idea, I am really hyped to see what kinda animated critters people come up with for it. Just seeing what Moto has included themselves has me incredibly excited for it. I think it's more about personalization than being super useful is what I'm saying.","youtube","mkbhd"
"UgxxvX_jzB35oWYYNI14AaABAg","@brookearcher856","Does anyone know how to move samsung notes (including voice memos) to Motorola??","youtube","mkbhd"
"UgyQcqzRiCs5X7_8Ai54AaABAg","@hotmandead1","Yeah 999 no 😢","youtube","mkbhd"
"UgzK__buOA3__kO5SKd4AaABAg","@simanX839","8s gen 1 ✅","youtube","mkbhd"
"UgxEgs90QKxoebS10Rl4AaABAg","@BatManWayneCorp","It's a pocket mirror 😂","youtube","mkbhd"
"UgwGqBJc9-eqki9H6B14AaABAg","@ritviksapra1368","I used to think that flipping/folding phones are just a gimmic. But products like these, which are striving to make this tech more and more affordable are the reasons that I have changed my mind. First, I tried these devices at a store and I have to say that they are really useful, specially the folding phones... Those are really amazing. Second, we are kind of hitting the max mark of what can be done on a phone now. And I think slowly the world is turning towars, being able to do more with your phone, but also limiting on the doom scrolling. 
Anyway, overall I feel it's an amazing time to be alive... And I feel these devices are here to stay. Only waiting for these devices to be a bit more affordable than they are right now.","youtube","mkbhd"
"UgxhUAAUTcFz3pGMy814AaABAg","@hikarushido23","this is good to use when going outside bevause ots handy","youtube","mkbhd"
"UgzvapDcVCUsNxD0XFJ4AaABAg","@tonystarkenterprizes","hello world,
could someone help me please, i have a question about this phone, because of my eyes i must have night on and maxed out when i use phones, laptops etc, so if you turn the night light on on it, is it on on the external screen when you are using it closed? i would be quite grateful for this info so if anyone knows please answer
thank you","youtube","mkbhd"
"Ugye7uDwEMcFVUrOCyt4AaABAg","@MatthewCyUK","What's this track at the opening????","youtube","mkbhd"
"UgyWlu34PLDBzow4fGl4AaABAg","@akbaromar2209","How many razr are there in 2024?","youtube","mkbhd"
"Ugy3BhD5ky4Z8xuocCx4AaABAg","@jayride_23","having a big screen outside could improve the life of the hinges or! use a cheaper hinge","youtube","mkbhd"
"UgziSwRAGHrrucIkbpB4AaABAg","@amazinggirl12","I think I’m ready to switch from iPhone to this one ! I’m over the same crap from Apple . Yes I have the 15 pro max and don’t care for it","youtube","mkbhd"
"UgyykpEZpcgk-SM-AhB4AaABAg","@DrPositive1","I brought cheaper moto razor 50 bigger battery and  fm radio then 50 ultra and it’s not worth spending the extra money for ultra 50 in humble opinion and my new moto razor 50 is better then my old Samsung flip z 5 with a bigger cover screen","youtube","mkbhd"
"UgxMvRvSKzLzv-MGSeN4AaABAg","@DrPositive1","I brought cheaper moto razor 50 bigger battery and  fm radio then 50 ultra and it’s not worth spending the extra money for ultra 50 in humble opinion and my new moto razor 50 is better then my old Samsung flip z 5","youtube","mkbhd"
"UgwOiOSMELsTOqjGNPR4AaABAg","@YvonneThelenPoalmzvayao","Johnson Cynthia Wilson Anthony Anderson Mary","youtube","mkbhd"
"UgxI1uN-EpiwYw0tBMt4AaABAg","@christianmaya5738","It would be really cool if you could block apps from working on the outside screen. Would help from getting sucked in to doom-scrolling","youtube","mkbhd"
"UgxJJDnYG8VbYdVZ9DJ4AaABAg","@krisbellamy2456","I just got the Motorola razor 2024 I love it the access to simple tasks while the phone close is a must for me and fast charging is a plus","youtube","mkbhd"
"UgyrUdQDiD7rs2qa91N4AaABAg","@phkhzaw","Is he going to review the new 2024 model too? I'm interested to hear his opinions @mkbhd","youtube","mkbhd"
"UgwQeC6-1jX1mAuuXMV4AaABAg","@Letmetellu4842","I bought this phone November 2023. Today is September 2024. I love it! I have three phones. Two iPhones, and this one. I don't like taking videos with it because when I send it to an iPhone, it's distorted. So I still use my camera on my iPhones, but for everything else this phone is wonderful.","youtube","mkbhd"
"Ugx9QzQgkR6HTNMj8KR4AaABAg","@drpradipjoshi","In India now it's priced at 50% discount (at 45k Rs that's around 600 USD) I just ordered mine","youtube","mkbhd"
"UgwheQIKnL3oV9zIZ8B4AaABAg","@adr2567","Ooh I like this phone, I’m gonna buy one even though it’s a year old now!","youtube","mkbhd"
